,Comp,Height,Points,Salary
0,9.0,76.0,27.0,0.0
1,7.0,78.0,39.0,0.0
2,9.0,76.0,39.0,0.0
3,9.0,74.0,39.0,0.0
4,9.0,74.0,26.0,0.0
5,8.0,75.0,46.0,0.0
6,8.0,78.0,35.0,0.0
7,7.0,75.0,56.0,0.0
8,9.0,77.0,37.0,0.0
9,9.0,78.0,63.0,496315.0
10,10.0,73.0,53.0,0.0
11,7.0,72.0,54.0,0.0
12,7.0,76.0,38.0,0.0
13,8.0,76.0,43.0,0.0
14,8.0,75.0,43.0,0.0
15,9.0,77.0,39.0,0.0
16,7.0,76.0,43.0,0.0
17,8.0,75.0,40.0,0.0
18,9.0,75.0,35.0,0.0
19,10.0,77.0,38.0,0.0
20,8.0,72.0,39.0,0.0
21,8.0,72.0,63.0,0.0
22,9.0,77.0,38.0,0.0
23,9.0,74.0,47.0,0.0
24,10.0,77.0,53.0,0.0
25,10.0,77.0,41.0,0.0
26,9.0,75.0,60.0,0.0
27,10.0,76.0,52.0,741265.0
28,9.0,77.0,38.0,0.0
29,8.0,76.0,56.0,0.0
30,8.0,78.0,62.0,292281.0
31,8.0,76.0,43.0,0.0
32,9.0,74.0,40.0,0.0
33,8.0,76.0,41.0,0.0
34,7.0,78.0,35.0,0.0
35,10.0,75.0,38.0,0.0
36,9.0,79.0,31.0,0.0
37,9.0,76.0,39.0,0.0
38,7.0,74.0,45.0,0.0
39,8.0,76.0,37.0,0.0
40,10.0,78.0,39.0,0.0
41,7.0,77.0,42.0,0.0
42,7.0,77.0,53.0,0.0
43,8.0,76.0,26.0,0.0
44,9.0,77.0,62.0,0.0
45,8.0,75.0,33.0,0.0
46,8.0,79.0,20.0,0.0
47,9.0,76.0,35.0,0.0
48,9.0,77.0,31.0,0.0
49,8.0,78.0,35.0,0.0
50,9.0,76.0,37.0,0.0
51,9.0,72.0,40.0,0.0
52,9.0,75.0,38.0,0.0
53,9.0,72.0,37.0,0.0
54,10.0,75.0,45.0,0.0
55,7.0,77.0,54.0,0.0
56,7.0,76.0,55.0,0.0
57,9.0,75.0,44.0,0.0
58,8.0,74.0,46.0,0.0
59,8.0,79.0,44.0,0.0
60,7.0,74.0,48.0,0.0
61,9.0,76.0,40.0,0.0
62,8.0,76.0,39.0,0.0
63,8.0,75.0,28.0,0.0
64,8.0,77.0,39.0,0.0
65,8.0,74.0,35.0,0.0
66,10.0,74.0,49.0,0.0
67,8.0,76.0,62.0,0.0
68,8.0,75.0,32.0,0.0
69,8.0,77.0,42.0,0.0
70,9.0,74.0,46.0,0.0
71,10.0,72.0,44.0,0.0
72,7.0,77.0,17.0,0.0
73,7.0,76.0,42.0,0.0
74,8.0,73.0,44.0,0.0
75,7.0,74.0,47.0,0.0
76,7.0,74.0,27.0,0.0
77,7.0,78.0,43.0,0.0
78,8.0,72.0,49.0,0.0
79,8.0,77.0,38.0,0.0
80,9.0,76.0,32.0,0.0
81,8.0,75.0,32.0,0.0
82,9.0,76.0,55.0,0.0
83,8.0,77.0,29.0,0.0
84,8.0,75.0,53.0,0.0
85,8.0,76.0,50.0,0.0
86,8.0,77.0,42.0,0.0
87,9.0,74.0,27.0,0.0
88,8.0,79.0,50.0,0.0
89,9.0,78.0,33.0,0.0
90,10.0,76.0,28.0,0.0
91,7.0,79.0,55.0,0.0
92,8.0,76.0,37.0,0.0
93,8.0,74.0,27.0,0.0
94,8.0,73.0,49.0,0.0
95,9.0,74.0,32.0,0.0
96,10.0,74.0,35.0,0.0
97,7.0,78.0,46.0,0.0
98,8.0,77.0,45.0,0.0
99,8.0,75.0,29.0,0.0
100,9.0,78.0,18.0,0.0
101,8.0,74.0,29.0,0.0
102,8.0,75.0,32.0,0.0
103,10.0,77.0,23.0,0.0
104,9.0,76.0,36.0,0.0
105,8.0,78.0,42.0,0.0
106,10.0,75.0,30.0,0.0
107,10.0,80.0,27.0,0.0
108,8.0,75.0,51.0,0.0
109,8.0,73.0,35.0,0.0
110,9.0,78.0,51.0,0.0
